open,label
-40714,0
-40862,0
-41067,0
-41298,0
-41469,0
-41512,0
-41452,0
-41362,0
-41305,0
-41281,0
-41235,0
-41105,0
-40877,0
-40649,0
-40527,0
-40502,0
-40497,0
-40436,0
-40306,0
-40151,0
-40038,0
-40005,0
-40050,0
-40153,0
-40282,0
-40415,0
-40515,0
-40529,0
-40462,0
-40353,0
-40234,0
-40131,0
-40052,0
-39947,0
-39790,0
-39636,0
-39555,0
-39576,0
-39634,0
-39634,0
-39551,0
-39458,0
-39461,0
-39577,0
-39766,0
-39967,0
-40078,0
-40078,0
-40071,0
-40135,0
-40243,0
-40354,0
-40434,0
-40470,0
-40516,0
-40582,0
-40650,0
-40713,0
-40735,0
-40698,0
-40613,0
-40483,0
-40313,0
-40099,0
-39885,0
-39704,0
-39545,0
-39401,0
-39248,0
-39074,0
-38906,0
-38794,0
-38772,0
-38815,0
-38854,0
-38793,0
-38666,0
-38610,0
-38674,0
-38826,0
-38952,0
-38939,0
-38819,0
-38699,0
-38673,0
-38749,0
-38862,0
-38968,0
-39029,0
-39075,0
-39196,0
-39368,0
-39562,0
-39799,0
-40041,0
-40284,0
-40531,0
-40734,0
-40887,0
-41024,0
-41192,0
-41411,0
-41636,0
-41806,0
-41885,0
-41922,0
-41989,0
-42094,0
-42184,0
-42173,0
-41998,0
-41710,0
-41439,0
-41256,0
-41150,0
-41061,0
-40925,0
-40756,0
-40600,0
-40474,0
-40389,0
-40330,0
-40254,0
-40154,0
-40019,0
-39865,0
-39761,0
-39716,0
-39701,0
